Name,Pass_pattern,n_passes,Count
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_recall,6,1
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;renewal_ANOVA_group_x_cue_type_interaction;t_test_between_groups_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,8,1
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;renewal_ANOVA_group_x_cue_type_interaction;t_test_between_groups_in_renewal;PTSD_t_test_between_stimuli_in_renewal,7,1
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;renewal_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_recall,5,1
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;renewal_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;t_test_between_groups_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,8,1
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;renewal_ANOVA_group_x_cue_type_interaction;t_test_between_groups_in_renewal;PTSD_t_test_between_stimuli_in_renewal,6,1
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;renewal_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_renewal;t_test_between_groups_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,7,1
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;renewal_ANOVA_group_x_cue_type_interaction;t_test_between_groups_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,6,1
garfinkel2014,extinction_ANOVA_group_main_effect;PTSD_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,5,1
garfinkel2014,extinction_ANOVA_group_main_effect;PTSD_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_renewal,3,1
garfinkel2014,extinction_ANOVA_group_main_effect;PTSD_t_test_between_stimuli_in_extinction;renewal_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_renewal;t_test_between_groups_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,7,1
grillon1999,control_group_effect_of_cue_type_in_acquisition;control_group_effect_of_cue_type_in_extinction;acquisition_ANOVA_group_x_cue_type_interaction,3,745
grillon1999,control_group_effect_of_cue_type_in_acquisition;control_group_effect_of_cue_type_in_extinction;extinction_ANOVA_group_x_cue_type_interaction;acquisition_ANOVA_group_x_cue_type_interaction,4,205
grillon1999,control_group_effect_of_cue_type_in_acquisition;control_group_effect_of_cue_type_in_extinction,2,42
grillon1999,control_group_effect_of_cue_type_in_acquisition;control_group_effect_of_cue_type_in_extinction;extinction_ANOVA_group_x_cue_type_interaction,3,8
handy2018,,NA,958
handy2018,extinction_group_effect_on_regression,1,42
jovanovic2013,control_acquistion_cue_type_main_effect;control_extinction_cue_type_main_effect,2,927
jovanovic2013,control_extinction_cue_type_main_effect,1,70
jovanovic2013,control_acquistion_cue_type_main_effect;control_extinction_cue_type_main_effect;PTSD_acquistion_cue_type_main_effect,3,3
milad2009,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction,3,756
milad2009,extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction,2,83
milad2009,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,4,61
milad2009,extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction,2,44
milad2009,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect,2,34
milad2009,extinction_ANOVA_cue_type_main_effect,1,4
milad2009,extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,3,4
milad2009,extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,3,3
milad2009,extinction_ANOVA_group_x_cue_type_interaction,1,3
milad2009,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;recall_ANOVA_group_x_cue_type_interaction,3,2
milad2009,extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,2,2
milad2009,,NA,1
milad2009,extinction_ANOVA_cue_type_main_effect;recall_ANOVA_group_x_cue_type_interaction,2,1
milad2009,extinction_ANOVA_group_main_effect,1,1
milad2009,extinction_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,2,1
norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;acquisition_ANOVA_group_main_effect;CS_minus_group_difference;extinction_block_3_t_test,5,760
norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;extinction_block_2_t_test;acquisition_ANOVA_group_main_effect;CS_minus_group_difference;extinction_block_3_t_test,6,100
norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;acquisition_ANOVA_group_main_effect;CS_minus_group_difference,4,40
norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;acquisition_ANOVA_group_main_effect;extinction_block_3_t_test,4,35
norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;CS_minus_group_difference;extinction_block_3_t_test,4,35
norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;extinction_block_2_t_test;acquisition_ANOVA_group_main_effect;CS_minus_group_difference,5,7
norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;extinction_block_3_t_test,3,4
norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;extinction_block_2_t_test;CS_minus_group_difference;extinction_block_3_t_test,5,3
norrholm2011,extinction_block_1_t_test;acquisition_ANOVA_group_main_effect,2,3
norrholm2011,extinction_block_1_t_test;acquisition_ANOVA_group_main_effect;CS_minus_group_difference,3,3
norrholm2011,extinction_block_1_t_test;acquisition_ANOVA_group_main_effect;CS_minus_group_difference;extinction_block_3_t_test,4,3
norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;CS_minus_group_difference,3,2
norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;acquisition_ANOVA_group_main_effect,3,1
norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;extinction_block_2_t_test;acquisition_ANOVA_group_main_effect;extinction_block_3_t_test,5,1
norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;extinction_block_2_t_test;CS_minus_group_difference,4,1
norrholm2011,extinction_block_1_t_test;acquisition_ANOVA_group_main_effect;extinction_block_3_t_test,3,1
norrholm2011,extinction_block_1_t_test;extinction_block_2_t_test;acquisition_ANOVA_group_main_effect;extinction_block_3_t_test,4,1
norrholm2015,early_extinction_t_test_between_groups;late_extinction_t_test_between_groups,2,834
norrholm2015,early_extinction_t_test_between_groups;middle_extinction_t_test_between_groups;late_extinction_t_test_between_groups,3,100
norrholm2015,early_extinction_t_test_between_groups,1,60
norrholm2015,early_extinction_t_test_between_groups;middle_extinction_t_test_between_groups,2,6
pineles2016,group_effect_on_regression_for_initial_fear_change;group_effect_on_regression_for_late_fear_change,2,881
pineles2016,group_effect_on_regression_for_late_fear_change,1,62
pineles2016,group_effect_on_regression_for_initial_fear_change,1,47
pineles2016,,NA,9
pineles2016,group_effect_on_regression_for_initial_fear_change;group_effect_on_regression_for_fear_recall,2,1
pohlechen2020,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction,4,593
pohlechen2020,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect,5,78
pohlechen2020,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,5,63
pohlechen2020,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect,3,48
pohlechen2020,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction,3,42
pohlechen2020,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,6,40
pohlechen2020,acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction,3,38
pohlechen2020,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction,3,36
pohlechen2020,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction,2,12
pohlechen2020,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,4,8
pohlechen2020,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect,4,6
