,Name,Pass_pattern,n_passes,Count
153,norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;CS_minus_group_difference;extinction_block_3_t_test,4,32
154,norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;acquisition_ANOVA_group_main_effect;extinction_block_3_t_test,4,24
155,norrholm2011,extinction_block_1_t_test;acquisition_ANOVA_group_main_effect;extinction_block_3_t_test,3,15
156,norrholm2011,extinction_block_1_t_test;acquisition_ANOVA_group_main_effect;CS_minus_group_difference,3,9
157,norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;extinction_block_2_t_test;acquisition_ANOVA_group_main_effect;CS_minus_group_difference,5,7
158,norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;extinction_block_2_t_test;CS_minus_group_difference;extinction_block_3_t_test,5,5
159,norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;extinction_block_3_t_test,3,4
160,norrholm2011,extinction_block_1_t_test;extinction_block_2_t_test;acquisition_ANOVA_group_main_effect;CS_minus_group_difference;extinction_block_3_t_test,5,4
161,norrholm2011,extinction_block_1_t_test;CS_minus_group_difference;extinction_block_3_t_test,3,3
162,norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;CS_minus_group_difference,3,2
163,norrholm2011,extinction_block_1_t_test;acquisition_ANOVA_group_main_effect,2,2
164,norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;acquisition_ANOVA_group_main_effect,3,1
165,norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;extinction_block_2_t_test;acquisition_ANOVA_group_main_effect;extinction_block_3_t_test,5,1
166,norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;extinction_block_2_t_test;CS_minus_group_difference,4,1
167,norrholm2011,extinction_block_1_t_test;extinction_block_2_t_test;acquisition_ANOVA_group_main_effect;extinction_block_3_t_test,4,1
