Study,Analyses that were recreated,Number of recreations,Number of simulations that had this result
norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;acquisition_ANOVA_group_main_effect,3,4
norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;extinction_block_2_t_test;CS_minus_group_difference,4,3
norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;extinction_block_2_t_test;acquisition_ANOVA_group_main_effect,4,2
norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;CS_minus_group_difference,3,1
norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;extinction_block_2_t_test;extinction_block_3_t_test,4,1
norrholm2015,early_extinction_t_test_between_groups;middle_extinction_t_test_between_groups;late_extinction_t_test_between_groups,3,465
norrholm2015,early_extinction_t_test_between_groups;late_extinction_t_test_between_groups,2,379
norrholm2015,early_extinction_t_test_between_groups;middle_extinction_t_test_between_groups,2,84
norrholm2015,early_extinction_t_test_between_groups,1,72
pineles2016,group_effect_on_regression_for_initial_fear_change;group_effect_on_regression_for_late_fear_change,2,674
pineles2016,group_effect_on_regression_for_initial_fear_change,1,192
pineles2016,group_effect_on_regression_for_late_fear_change,1,94
pineles2016,,NA,40
pohlechen2020,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction,4,743
pohlechen2020,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect,3,75
pohlechen2020,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction,2,49
pohlechen2020,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction,3,42
pohlechen2020,acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction,3,37
pohlechen2020,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,6,8
pohlechen2020,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,5,8
pohlechen2020,acquisition_ANOVA_group_main_effect,1,7
pohlechen2020,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_cue_type_interaction,3,6
pohlechen2020,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction,2,6
pohlechen2020,acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect,2,6
pohlechen2020,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect,2,3
pohlechen2020,acquisition_ANOVA_group_x_cue_type_interaction,1,3
pohlechen2020,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_main_effect,5,2
pohlechen2020,extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction,2,2
